ID,NR,TraceSampleCode,Region,RegionNo,LabNo,Date_Sr87Bulk,Sr87_Bulk,1SD_Sr87Bulk
1.0000000000000000e+00,1.0000000000000000e+00,"Barcelona 25414","BAR",2.0000000000000000e+00,4.0000000000000000e+00,,7.1398499999999998e-01,2.4000000000000001e-05
2.0000000000000000e+00,2.0000000000000000e+00,"Barcelona 25415","BAR",2.0000000000000000e+00,4.0000000000000000e+00,,7.1257700000000002e-01,4.3000000000000002e-05
3.0000000000000000e+00,3.0000000000000000e+00,"Barcelona 25418","BAR",2.0000000000000000e+00,4.0000000000000000e+00,,7.1277199999999996e-01,6.0999999999999999e-05
4.0000000000000000e+00,4.0000000000000000e+00,"Barcelona 32454","BAR",2.0000000000000000e+00,4.0000000000000000e+00,,7.0916199999999996e-01,4.0000000000000003e-05
5.0000000000000000e+00,5.0000000000000000e+00,"Barcelona 32455","BAR",2.0000000000000000e+00,4.0000000000000000e+00,,7.0897299999999996e-01,5.7000000000000003e-05
6.0000000000000000e+00,6.0000000000000000e+00,"Barcelona 32456","BAR",2.0000000000000000e+00,4.0000000000000000e+00,,7.0920899999999998e-01,7.2999999999999999e-05
7.0000000000000000e+00,7.0000000000000000e+00,"Barcelona 32457","BAR",2.0000000000000000e+00,4.0000000000000000e+00,"03/03/09 00:00:00",7.1002699999999996e-01,1.0000000000000000e-04
8.0000000000000000e+00,8.0000000000000000e+00,"Barcelona 32503","BAR",2.0000000000000000e+00,4.0000000000000000e+00,,7.1060500000000004e-01,4.6000000000000000e-05
9.0000000000000000e+00,9.0000000000000000e+00,"Barcelona 32506","BAR",2.0000000000000000e+00,4.0000000000000000e+00,"03/03/09 00:00:00",7.1037700000000004e-01,6.2000000000000003e-05
1.0000000000000000e+01,1.0000000000000000e+01,"Barcelona 32509","BAR",2.0000000000000000e+00,4.0000000000000000e+00,,7.1039699999999995e-01,3.4000000000000000e-05
1.1000000000000000e+01,1.1000000000000000e+01,"Barcelona 940","BAR",2.0000000000000000e+00,4.0000000000000000e+00,,7.1051799999999998e-01,3.6000000000000001e-05
1.2000000000000000e+01,1.2000000000000000e+01,"Barcelona 941","BAR",2.0000000000000000e+00,4.0000000000000000e+00,,7.1141699999999997e-01,2.1999999999999999e-05
1.3000000000000000e+01,1.3000000000000000e+01,"Barcelona 942","BAR",2.0000000000000000e+00,4.0000000000000000e+00,,7.1103799999999995e-01,3.4000000000000000e-05
1.4000000000000000e+01,1.4000000000000000e+01,"Barcelona 943","BAR",2.0000000000000000e+00,4.0000000000000000e+00,,7.0965100000000003e-01,3.6000000000000001e-05
1.5000000000000000e+01,1.0000000000000000e+00,"1BGrCHA08060001","CHA",4.0000000000000000e+00,4.0000000000000000e+00,"03/06/09 00:00:00",7.0853600000000005e-01,6.2000000000000003e-05
1.6000000000000000e+01,2.0000000000000000e+00,"1BGrCHA08060002","CHA",4.0000000000000000e+00,4.0000000000000000e+00,"03/06/09 00:00:00",7.0881300000000003e-01,8.8999999999999995e-05
1.7000000000000000e+01,3.0000000000000000e+00,"1BGrCHA08060003","CHA",4.0000000000000000e+00,4.0000000000000000e+00,"03/06/09 00:00:00",7.0886800000000005e-01,1.6699999999999999e-04
1.8000000000000000e+01,4.0000000000000000e+00,"1BGrCHA08060004","CHA",4.0000000000000000e+00,4.0000000000000000e+00,"03/06/09 00:00:00",7.0874899999999996e-01,2.1699999999999999e-04
1.9000000000000000e+01,1.0000000000000000e+00,"1BUKCor08010001","COR",5.0000000000000000e+00,4.0000000000000000e+00,"02/17/09 00:00:00",7.0905899999999999e-01,4.1999999999999998e-05
2.0000000000000000e+01,2.0000000000000000e+00,"1BUKCor08010002","COR",5.0000000000000000e+00,4.0000000000000000e+00,"02/17/09 00:00:00",7.1551399999999998e-01,4.3999999999999999e-05
2.1000000000000000e+01,3.0000000000000000e+00,"1BUKCor08010003","COR",5.0000000000000000e+00,4.0000000000000000e+00,"02/17/09 00:00:00",7.0946600000000004e-01,4.8999999999999998e-05
2.2000000000000000e+01,4.0000000000000000e+00,"1BUKCor08020001","COR",5.0000000000000000e+00,4.0000000000000000e+00,"02/17/09 00:00:00",7.0964899999999997e-01,6.4999999999999994e-05
2.3000000000000000e+01,5.0000000000000000e+00,"1BUKCor08020002","COR",5.0000000000000000e+00,4.0000000000000000e+00,"02/17/09 00:00:00",7.1033299999999999e-01,4.6000000000000000e-05
2.4000000000000000e+01,6.0000000000000000e+00,"1BUKCor08050001","COR",5.0000000000000000e+00,4.0000000000000000e+00,"02/17/09 00:00:00",7.1648800000000001e-01,2.5000000000000001e-05
2.5000000000000000e+01,7.0000000000000000e+00,"1BUKCor08050002","COR",5.0000000000000000e+00,4.0000000000000000e+00,"02/17/09 00:00:00",7.1415600000000001e-01,2.0000000000000002e-05
2.6000000000000000e+01,8.0000000000000000e+00,"1BUKCor08050003","COR",5.0000000000000000e+00,4.0000000000000000e+00,"02/17/09 00:00:00",7.1246699999999996e-01,3.4000000000000000e-05
2.7000000000000000e+01,9.0000000000000000e+00,"1BUKCor08050004","COR",5.0000000000000000e+00,4.0000000000000000e+00,"02/17/09 00:00:00",7.1101099999999995e-01,6.4999999999999994e-05
2.8000000000000000e+01,1.0000000000000000e+01,"1BUKCor08050005","COR",5.0000000000000000e+00,4.0000000000000000e+00,"02/17/09 00:00:00",7.0866600000000002e-01,4.0000000000000003e-05
2.9000000000000000e+01,1.1000000000000000e+01,"1BUKCor08090001","COR",5.0000000000000000e+00,4.0000000000000000e+00,"03/03/09 00:00:00",7.0936100000000002e-01,5.0000000000000002e-05
3.0000000000000000e+01,1.2000000000000000e+01,"1BUKCor08090002","COR",5.0000000000000000e+00,4.0000000000000000e+00,"03/03/09 00:00:00",7.1220099999999997e-01,6.4999999999999994e-05
3.1000000000000000e+01,1.3000000000000000e+01,"1BUKCor08090003","COR",5.0000000000000000e+00,4.0000000000000000e+00,"03/03/09 00:00:00",7.1424900000000002e-01,5.3999999999999998e-05
3.2000000000000000e+01,1.4000000000000000e+01,"1BUKCor08090004","COR",5.0000000000000000e+00,4.0000000000000000e+00,"03/03/09 00:00:00",7.0940999999999999e-01,3.4000000000000000e-05
3.3000000000000000e+01,1.5000000000000000e+01,"1BUKCor08100001","COR",5.0000000000000000e+00,4.0000000000000000e+00,"02/17/09 00:00:00",7.0895399999999997e-01,6.9999999999999994e-05
3.4000000000000000e+01,1.6000000000000000e+01,"1BUKCor08110001","COR",5.0000000000000000e+00,4.0000000000000000e+00,"03/03/09 00:00:00",7.1503899999999998e-01,6.7999999999999999e-05
3.5000000000000000e+01,1.7000000000000000e+01,"1BUKCor08110002","COR",5.0000000000000000e+00,4.0000000000000000e+00,"03/03/09 00:00:00",7.0884100000000005e-01,4.5000000000000003e-05
3.6000000000000000e+01,1.8000000000000000e+01,"1BUKCor08110003","COR",5.0000000000000000e+00,4.0000000000000000e+00,"03/03/09 00:00:00",7.0986800000000005e-01,2.4899999999999998e-04
3.7000000000000000e+01,1.9000000000000000e+01,"1BUKCor08110004","COR",5.0000000000000000e+00,4.0000000000000000e+00,"03/03/09 00:00:00",7.0862400000000003e-01,5.1999999999999997e-05
3.8000000000000000e+01,2.0000000000000000e+01,"1BUKCor08120001","COR",5.0000000000000000e+00,4.0000000000000000e+00,"03/03/09 00:00:00",7.1047800000000005e-01,6.3000000000000000e-05
3.9000000000000000e+01,1.0000000000000000e+00,"1BDeFra06090001","FRA",6.0000000000000000e+00,4.0000000000000000e+00,"03/27/09 00:00:00",7.0859499999999997e-01,4.8000000000000001e-05
4.0000000000000000e+01,2.0000000000000000e+00,"1BDeFra06090002","FRA",6.0000000000000000e+00,4.0000000000000000e+00,"03/27/09 00:00:00",7.0860900000000004e-01,2.0999999999999999e-05
4.1000000000000000e+01,3.0000000000000000e+00,"1BDeFra06090003","FRA",6.0000000000000000e+00,4.0000000000000000e+00,"03/27/09 00:00:00",7.0927899999999999e-01,5.3000000000000001e-05
4.2000000000000000e+01,4.0000000000000000e+00,"1BDeFra06090004","FRA",6.0000000000000000e+00,4.0000000000000000e+00,"03/27/09 00:00:00",7.0837600000000001e-01,4.1999999999999998e-05
4.3000000000000000e+01,5.0000000000000000e+00,"1BDeFra06090005","FRA",6.0000000000000000e+00,4.0000000000000000e+00,"03/27/09 00:00:00",7.0839799999999997e-01,3.6999999999999998e-05
4.4000000000000000e+01,6.0000000000000000e+00,"1BDeFra06090006","FRA",6.0000000000000000e+00,4.0000000000000000e+00,"03/27/09 00:00:00",7.0893799999999996e-01,3.4000000000000000e-05
4.5000000000000000e+01,7.0000000000000000e+00,"1BDeFra06120007","FRA",6.0000000000000000e+00,4.0000000000000000e+00,"03/27/09 00:00:00",7.0918499999999995e-01,5.0000000000000002e-05
4.6000000000000000e+01,8.0000000000000000e+00,"1BDeFra06120008","FRA",6.0000000000000000e+00,4.0000000000000000e+00,"03/27/09 00:00:00",7.0817699999999995e-01,1.5999999999999999e-05
4.7000000000000000e+01,9.0000000000000000e+00,"1BDeFra06120009","FRA",6.0000000000000000e+00,4.0000000000000000e+00,"03/27/09 00:00:00",7.0820200000000000e-01,1.9000000000000001e-05
4.8000000000000000e+01,1.0000000000000000e+01,"1BDeFra07010010","FRA",6.0000000000000000e+00,4.0000000000000000e+00,"03/27/09 00:00:00",7.0923199999999997e-01,2.9000000000000000e-05
4.9000000000000000e+01,1.1000000000000000e+01,"1BDeFra07010011","FRA",6.0000000000000000e+00,4.0000000000000000e+00,"03/27/09 00:00:00",7.0878799999999997e-01,2.0000000000000002e-05
5.0000000000000000e+01,1.2000000000000000e+01,"1BDeFra07060012","FRA",6.0000000000000000e+00,4.0000000000000000e+00,"03/27/09 00:00:00",7.0822099999999999e-01,2.1999999999999999e-05
5.1000000000000000e+01,1.3000000000000000e+01,"1BDeFra07060013","FRA",6.0000000000000000e+00,4.0000000000000000e+00,"03/27/09 00:00:00",7.0825000000000005e-01,5.3000000000000001e-05
5.2000000000000000e+01,1.4000000000000000e+01,"1BDeFra07060014","FRA",6.0000000000000000e+00,4.0000000000000000e+00,"03/27/09 00:00:00",7.0888200000000001e-01,4.5000000000000003e-05
5.3000000000000000e+01,1.5000000000000000e+01,"1BDeFra07060015","FRA",6.0000000000000000e+00,4.0000000000000000e+00,"03/27/09 00:00:00",7.0945700000000000e-01,1.8000000000000000e-05
5.4000000000000000e+01,1.6000000000000000e+01,"1BDeFra07060016","FRA",6.0000000000000000e+00,4.0000000000000000e+00,"03/27/09 00:00:00",7.0970400000000000e-01,2.3000000000000000e-05
5.5000000000000000e+01,1.7000000000000000e+01,"1BDeFra07060017","FRA",6.0000000000000000e+00,4.0000000000000000e+00,"03/27/09 00:00:00",7.0853999999999995e-01,2.9000000000000000e-05
5.6000000000000000e+01,1.8000000000000000e+01,"1BDeFra07060018","FRA",6.0000000000000000e+00,4.0000000000000000e+00,"03/27/09 00:00:00",7.0938199999999996e-01,1.5000000000000000e-05
5.7000000000000000e+01,1.9000000000000000e+01,"1BDeFra07060019","FRA",6.0000000000000000e+00,4.0000000000000000e+00,"03/31/09 00:00:00",7.0943900000000004e-01,2.9000000000000000e-05
5.8000000000000000e+01,2.0000000000000000e+01,"1BDeFra07060020","FRA",6.0000000000000000e+00,4.0000000000000000e+00,"03/31/09 00:00:00",7.0854099999999998e-01,2.0000000000000002e-05
5.9000000000000000e+01,1.0000000000000000e+00,"1BDeGau08090001","GAU",8.0000000000000000e+00,4.0000000000000000e+00,"03/05/09 00:00:00",7.1122099999999999e-01,7.2000000000000002e-05
6.0000000000000000e+01,2.0000000000000000e+00,"1BDeGau08090002","GAU",8.0000000000000000e+00,4.0000000000000000e+00,"03/05/09 00:00:00",7.0852899999999996e-01,2.6999999999999999e-05
6.1000000000000000e+01,3.0000000000000000e+00,"1BDeGau08090003","GAU",8.0000000000000000e+00,4.0000000000000000e+00,"03/05/09 00:00:00",7.1061799999999997e-01,3.0000000000000001e-05
6.2000000000000000e+01,4.0000000000000000e+00,"1BDeGau08100004","GAU",8.0000000000000000e+00,4.0000000000000000e+00,"03/05/09 00:00:00",7.0982199999999995e-01,5.1999999999999997e-05
6.3000000000000000e+01,5.0000000000000000e+00,"1BDeGau08100005","GAU",8.0000000000000000e+00,4.0000000000000000e+00,"03/05/09 00:00:00",7.0913999999999999e-01,5.5999999999999999e-05
6.4000000000000000e+01,6.0000000000000000e+00,"1BDeGau08100006","GAU",8.0000000000000000e+00,4.0000000000000000e+00,"03/05/09 00:00:00",7.0841600000000005e-01,1.9100000000000001e-04
6.5000000000000000e+01,7.0000000000000000e+00,"1BDeGau08100007","GAU",8.0000000000000000e+00,4.0000000000000000e+00,"03/05/09 00:00:00",7.1161500000000000e-01,1.3700000000000000e-04
6.6000000000000000e+01,8.0000000000000000e+00,"1BDeGau08100008","GAU",8.0000000000000000e+00,4.0000000000000000e+00,"03/05/09 00:00:00",7.1204100000000004e-01,3.6999999999999998e-05
6.7000000000000000e+01,9.0000000000000000e+00,"1BDeGau08100009","GAU",8.0000000000000000e+00,4.0000000000000000e+00,"03/05/09 00:00:00",7.0798099999999997e-01,2.5999999999999998e-05
6.8000000000000000e+01,1.0000000000000000e+01,"1BDeGau08100010","GAU",8.0000000000000000e+00,4.0000000000000000e+00,"03/05/09 00:00:00",7.1349300000000004e-01,6.7999999999999999e-05
6.9000000000000000e+01,1.1000000000000000e+01,"1BDeGau08100011","GAU",8.0000000000000000e+00,4.0000000000000000e+00,"03/05/09 00:00:00",7.0971099999999998e-01,8.5000000000000006e-05
7.0000000000000000e+01,1.2000000000000000e+01,"1BDeGau08100012","GAU",8.0000000000000000e+00,4.0000000000000000e+00,"03/05/09 00:00:00",7.0886199999999999e-01,6.7000000000000002e-05
7.1000000000000000e+01,1.3000000000000000e+01,"1BDeGau08100013","GAU",8.0000000000000000e+00,4.0000000000000000e+00,"03/10/09 00:00:00",7.0991800000000005e-01,4.1999999999999998e-05
7.2000000000000000e+01,1.4000000000000000e+01,"1BDeGau08110014","GAU",8.0000000000000000e+00,4.0000000000000000e+00,"03/10/09 00:00:00",7.1594400000000002e-01,5.8999999999999998e-05
7.3000000000000000e+01,1.5000000000000000e+01,"1BDeGau08110015","GAU",8.0000000000000000e+00,4.0000000000000000e+00,"03/10/09 00:00:00",7.1298099999999998e-01,7.8999999999999996e-05
7.4000000000000000e+01,1.6000000000000000e+01,"1BDeGau08110016","GAU",8.0000000000000000e+00,4.0000000000000000e+00,"03/10/09 00:00:00",7.1277400000000002e-01,1.0399999999999999e-04
7.5000000000000000e+01,1.7000000000000000e+01,"1BDeGau08120017","GAU",8.0000000000000000e+00,4.0000000000000000e+00,"03/10/09 00:00:00",7.1400799999999998e-01,4.5000000000000003e-05
7.6000000000000000e+01,1.8000000000000000e+01,"1BDeGau08120018","GAU",8.0000000000000000e+00,4.0000000000000000e+00,"03/10/09 00:00:00",7.0948900000000004e-01,9.7999999999999997e-05
7.7000000000000000e+01,1.9000000000000000e+01,"1BDeGau08120019","GAU",8.0000000000000000e+00,4.0000000000000000e+00,"03/10/09 00:00:00",7.1260299999999999e-01,5.1999999999999997e-05
7.8000000000000000e+01,2.0000000000000000e+01,"1BDeGau08120020","GAU",8.0000000000000000e+00,4.0000000000000000e+00,"03/10/09 00:00:00",7.0888300000000004e-01,4.0000000000000003e-05
7.9000000000000000e+01,1.0000000000000000e+00,"1BIeIre08100001","IRE",1.0000000000000000e+01,4.0000000000000000e+00,"02/16/09 00:00:00",7.1033199999999996e-01,7.2999999999999999e-05
8.0000000000000000e+01,2.0000000000000000e+00,"1BIeIre08100004","IRE",1.0000000000000000e+01,4.0000000000000000e+00,"02/16/09 00:00:00",7.0887400000000000e-01,6.0000000000000002e-05
8.1000000000000000e+01,3.0000000000000000e+00,"1BIeIre08100007","IRE",1.0000000000000000e+01,4.0000000000000000e+00,"02/16/09 00:00:00",7.0885600000000004e-01,1.0900000000000001e-04
8.2000000000000000e+01,4.0000000000000000e+00,"1BIeIre08100008","IRE",1.0000000000000000e+01,4.0000000000000000e+00,"02/17/09 00:00:00",7.0714800000000000e-01,5.7000000000000003e-05
8.3000000000000000e+01,1.0000000000000000e+00,"1BFrLim07070001","LIM",1.3000000000000000e+01,4.0000000000000000e+00,"02/25/09 00:00:00",7.1048500000000003e-01,5.3999999999999998e-05
8.4000000000000000e+01,2.0000000000000000e+00,"1BFrLim07070002","LIM",1.3000000000000000e+01,4.0000000000000000e+00,"02/25/09 00:00:00",7.1132799999999996e-01,1.6500000000000000e-04
8.5000000000000000e+01,3.0000000000000000e+00,"1BFrLim07070003","LIM",1.3000000000000000e+01,4.0000000000000000e+00,"02/25/09 00:00:00",7.1114500000000003e-01,4.5000000000000003e-05
8.6000000000000000e+01,4.0000000000000000e+00,"1BFrLim07070004","LIM",1.3000000000000000e+01,4.0000000000000000e+00,"02/25/09 00:00:00",7.1131500000000003e-01,3.1999999999999999e-05
8.7000000000000000e+01,5.0000000000000000e+00,"1BFrLim07070005","LIM",1.3000000000000000e+01,4.0000000000000000e+00,"02/25/09 00:00:00",7.1148199999999995e-01,2.9599999999999998e-04
8.8000000000000000e+01,6.0000000000000000e+00,"1BFrLim07070006","LIM",1.3000000000000000e+01,4.0000000000000000e+00,"02/25/09 00:00:00",7.1287000000000000e-01,5.3000000000000001e-05
8.9000000000000000e+01,7.0000000000000000e+00,"1BFrLim07070007","LIM",1.3000000000000000e+01,4.0000000000000000e+00,"02/25/09 00:00:00",7.1338199999999996e-01,9.8999999999999994e-05
9.0000000000000000e+01,8.0000000000000000e+00,"1BFrLim07070008","LIM",1.3000000000000000e+01,4.0000000000000000e+00,"02/25/09 00:00:00",7.1340000000000003e-01,2.9000000000000000e-05
9.1000000000000000e+01,9.0000000000000000e+00,"1BFrLim07070009","LIM",1.3000000000000000e+01,4.0000000000000000e+00,"02/25/09 00:00:00",7.1303899999999998e-01,5.1000000000000000e-05
9.2000000000000000e+01,1.0000000000000000e+01,"1BFrLim07070010","LIM",1.3000000000000000e+01,4.0000000000000000e+00,"02/25/09 00:00:00",7.1346900000000002e-01,5.1999999999999997e-05
9.3000000000000000e+01,1.1000000000000000e+01,"1BFrLim07070011","LIM",1.3000000000000000e+01,4.0000000000000000e+00,"02/25/09 00:00:00",7.1057999999999999e-01,5.8000000000000000e-05
9.4000000000000000e+01,1.2000000000000000e+01,"1BFrLim07070012","LIM",1.3000000000000000e+01,4.0000000000000000e+00,"02/26/09 00:00:00",7.1060299999999998e-01,6.6000000000000005e-05
9.5000000000000000e+01,1.3000000000000000e+01,"1BFrLim07070013","LIM",1.3000000000000000e+01,4.0000000000000000e+00,"02/26/09 00:00:00",7.1044900000000000e-01,3.4000000000000000e-05
9.6000000000000000e+01,1.4000000000000000e+01,"1BFrLim07070014","LIM",1.3000000000000000e+01,4.0000000000000000e+00,"02/26/09 00:00:00",7.1054399999999995e-01,6.3000000000000000e-05
9.7000000000000000e+01,1.5000000000000000e+01,"1BFrLim07070015","LIM",1.3000000000000000e+01,4.0000000000000000e+00,"02/26/09 00:00:00",7.1042499999999997e-01,5.5000000000000002e-05
9.8000000000000000e+01,1.6000000000000000e+01,"1BFrLim07070016","LIM",1.3000000000000000e+01,4.0000000000000000e+00,"03/02/09 00:00:00",7.1167899999999995e-01,3.3000000000000003e-05
9.9000000000000000e+01,1.7000000000000000e+01,"1BFrLim07070017","LIM",1.3000000000000000e+01,4.0000000000000000e+00,"03/02/09 00:00:00",7.1193200000000001e-01,3.8000000000000002e-05
1.0000000000000000e+02,1.8000000000000000e+01,"1BFrLim07070018","LIM",1.3000000000000000e+01,4.0000000000000000e+00,"03/02/09 00:00:00",7.1180800000000000e-01,2.5999999999999998e-05
1.0100000000000000e+02,1.9000000000000000e+01,"1BFrLim07070019","LIM",1.3000000000000000e+01,4.0000000000000000e+00,"03/02/09 00:00:00",7.1241299999999996e-01,5.1999999999999997e-05
1.0200000000000000e+02,2.0000000000000000e+01,"1BFrLim07070020","LIM",1.3000000000000000e+01,4.0000000000000000e+00,"03/02/09 00:00:00",7.1190900000000001e-01,6.6000000000000005e-05
1.0300000000000000e+02,1.0000000000000000e+00,"1BDeNor08060001","NOR",1.6000000000000000e+01,4.0000000000000000e+00,"03/06/09 00:00:00",7.0756699999999995e-01,4.8999999999999998e-05
